Assay	Well	Well.Position	Omit	Sample.Name	Target.Name	LogCopiesmLmilk	Sample	Wash	PMA	ConcentrationCAT	Conc.Target	Replicate	Bio	Regression	Reporter	Quencher	CT	Ct.Mean	Ct.SD	RegressionF	CalcCopyN	.InputSampleVolume(uL).	ElutionVolume(uL)	MilkEquiv(MuLuL)	BacktransfCopyN	CopiesuLDNA	CopiesmLmilk	caclLogCopiesmLmilk
BovineHalf	40	D4	FALSE	53-50uM-1.B3	BovineUXT	3.308389456	53	Yes	50	50uM	50uM_Bovine	1	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	36.21606445	36.05115509	0.233219758	1.211479443	1.211479443	400	100	4	16.27344286	8.13672143	2034.180358	3.308389456
Total16Shalf	39	D3	FALSE	53-50uM-1.B3	Total16S	3.948685902	53	Yes	50	50uM	50uM_Total16S	1	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	34.1437149	34.08337784	0.085329495	1.851775889	1.851775889	400	100	4	71.08465969	35.54232985	8885.582461	3.948685902
Total16Shalf	40	D4	FALSE	53-50uM-1.B3	Total16S	3.977165911	53	Yes	50	50uM	50uM_Total16S	1	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	34.02304077	34.08337784	0.085329495	1.880255898	1.880255898	400	100	4	75.90246818	37.95123409	9487.808522	3.977165911
BovineHalf	5	A5	FALSE	58-50uM-2.B3	BovineUXT	3.396550869	58	Yes	50	50uM	50uM_Bovine	2	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	35.91065216	36.4315567	0.736670256	1.299640856	1.299640856	400	100	4	19.93612996	9.968064981	2492.016245	3.396550869
BovineHalf	6	A6	FALSE	58-50uM-2.B3	BovineUXT	3.095818506	58	Yes	50	50uM	50uM_Bovine	2	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	36.95246124	36.4315567	0.736670256	0.998908493	0.998908493	400	100	4	9.974898676	4.987449338	1246.862335	3.095818506
Total16Shalf	5	A5	FALSE	58-50uM-2.B3	Total16S	4.277987703	58	Yes	50	50uM	50uM_Total16S	2	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	32.74841309	32.3815918	0.518763661	2.18107769	2.18107769	400	100	4	151.7321773	75.86608866	18966.52217	4.277987703
Total16Shalf	6	A6	FALSE	58-50uM-2.B3	Total16S	4.45113291	58	Yes	50	50uM	50uM_Total16S	2	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	32.01477051	32.3815918	0.518763661	2.354222897	2.354222897	400	100	4	226.0595699	113.029785	28257.44624	4.45113291
BovineHalf	65	F5	FALSE	63-50uM-3.B3	BovineUXT	3.33190592	63	Yes	50	50uM	50uM_Bovine	3	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	36.13459778	36.15677643	0.031362649	1.234995907	1.234995907	400	100	4	17.17892198	8.589460989	2147.365247	3.33190592
BovineHalf	66	F6	FALSE	63-50uM-3.B3	BovineUXT	3.319102683	63	Yes	50	50uM	50uM_Bovine	3	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	36.17895126	36.15677643	0.031362649	1.22219267	1.22219267	400	100	4	16.67987034	8.339935171	2084.983793	3.319102683
Total16Shalf	65	F5	FALSE	63-50uM-3.B3	Total16S	4.225554379	63	Yes	50	50uM	50uM_Total16S	3	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	32.97058105	33.46981049	0.706014335	2.128644366	2.128644366	400	100	4	134.475871	67.23793551	16809.48388	4.225554379
Total16Shalf	66	F6	FALSE	63-50uM-3.B3	Total16S	3.989911423	63	Yes	50	50uM	50uM_Total16S	3	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	33.9690361	33.46981049	0.706014335	1.89300141	1.89300141	400	100	4	78.16303414	39.08151707	9770.379268	3.989911423
BovineFull	3	A3	FALSE	1-NTC-1.B1	BovineUXT	5.244627684	1	No	0	UTC	UTC_Bovine	1	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	29.50847054	29.46734238	0.058165349	3.147717671	3.147717671	400	100	4	1405.133769	702.5668844	175641.7211	5.244627684
BovineFull	4	A4	FALSE	1-NTC-1.B1	BovineUXT	5.26837264	1	No	0	UTC	UTC_Bovine	1	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	29.42621231	29.46734238	0.058165349	3.171462626	3.171462626	400	100	4	1484.098159	742.0490797	185512.2699	5.26837264
Total16Sfull	3	A3	FALSE	1-NTC-1.B1	Total16S	5.348397266	1	No	0	UTC	UTC_Total16S	1	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	28.21292496	28.24947548	0.051690243	3.251487253	3.251487253	400	100	4	1784.379615	892.1898074	223047.4519	5.348397266
Total16Sfull	4	A4	FALSE	1-NTC-1.B1	Total16S	5.331144866	1	No	0	UTC	UTC_Total16S	1	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	28.286026	28.24947548	0.051690243	3.234234853	3.234234853	400	100	4	1714.884413	857.4422065	214360.5516	5.331144866
BovineFull	31	C7	FALSE	22-NTC-1.B2	BovineUXT	5.308400511	22	No	0	UTC	UTC_Bovine	1	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	29.28754616	29.38008881	0.130876422	3.211490498	3.211490498	400	100	4	1627.385709	813.6928544	203423.2136	5.308400511
BovineFull	32	C8	FALSE	22-NTC-1.B2	BovineUXT	5.254972572	22	No	0	UTC	UTC_Bovine	1	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	29.47263336	29.38008881	0.130876422	3.158062559	3.158062559	400	100	4	1439.005847	719.5029236	179875.7309	5.254972572
Total16Sfull	31	C7	FALSE	22-NTC-1.B2	Total16S	5.258278841	22	No	0	UTC	UTC_Total16S	1	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	28.59477043	28.80729294	0.30055356	3.161368828	3.161368828	400	100	4	1450.002757	725.0013785	181250.3446	5.258278841
Total16Sfull	32	C8	FALSE	22-NTC-1.B2	Total16S	5.157964547	22	No	0	UTC	UTC_Total16S	1	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	29.01981735	28.80729294	0.30055356	3.061054534	3.061054534	400	100	4	1150.944904	575.4724518	143868.1129	5.157964547
BovineFull	43	D7	FALSE	23-NTC-2.B2	BovineUXT	5.342745824	23	No	0	UTC	UTC_Bovine	2	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	29.16856575	29.06377411	0.148196414	3.245835811	3.245835811	400	100	4	1761.310041	880.6550206	220163.7551	5.342745824
BovineFull	44	D8	FALSE	23-NTC-2.B2	BovineUXT	5.403244339	23	No	0	UTC	UTC_Bovine	2	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	28.95898438	29.06377411	0.148196414	3.306334326	3.306334326	400	100	4	2024.577126	1012.288563	253072.1408	5.403244339
Total16Sfull	43	D7	FALSE	23-NTC-2.B2	Total16S	5.479693947	23	No	0	UTC	UTC_Total16S	2	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	27.65660095	27.82273102	0.234944746	3.382783934	3.382783934	400	100	4	2414.259414	1207.129707	301782.4268	5.479693947
Total16Sfull	44	D8	FALSE	23-NTC-2.B2	Total16S	5.401277588	23	No	0	UTC	UTC_Total16S	2	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	27.98886299	27.82273102	0.234944746	3.304367575	3.304367575	400	100	4	2015.429332	1007.714666	251928.6664	5.401277588
BovineFull	55	E7	FALSE	24-NTC-3.B2	BovineUXT	5.336595822	24	No	0	UTC	UTC_Bovine	3	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	29.18987083	29.09574509	0.133112565	3.239685809	3.239685809	400	100	4	1736.544067	868.2720336	217068.0084	5.336595822
BovineFull	56	E8	FALSE	24-NTC-3.B2	BovineUXT	5.390936626	24	No	0	UTC	UTC_Bovine	3	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	29.00162125	29.09574509	0.133112565	3.294026613	3.294026613	400	100	4	1968.006883	984.0034414	246000.8603	5.390936626
Total16Sfull	55	E7	FALSE	24-NTC-3.B2	Total16S	5.678140213	24	No	0	UTC	UTC_Total16S	3	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	26.81575394	27.04389954	0.322645247	3.5812302	3.5812302	400	100	4	3812.67863	1906.339315	476584.8287	5.678140213
Total16Sfull	56	E8	FALSE	24-NTC-3.B2	Total16S	5.570452483	24	No	0	UTC	UTC_Total16S	3	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	27.27204323	27.04389954	0.322645247	3.47354247	3.47354247	400	100	4	2975.38021	1487.690105	371922.5263	5.570452483
BovineFull	15	B3	FALSE	2-NTC-2.B1	BovineUXT	5.223619672	2	No	0	UTC	UTC_Bovine	2	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	29.58124733	29.66327095	0.115998916	3.126709659	3.126709659	400	100	4	1338.781367	669.3906836	167347.6709	5.223619672
BovineFull	16	B4	FALSE	2-NTC-2.B1	BovineUXT	5.176265205	2	No	0	UTC	UTC_Bovine	2	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	29.74529457	29.66327095	0.115998916	3.079355192	3.079355192	400	100	4	1200.480726	600.2403628	150060.0907	5.176265205
Total16Sfull	15	B3	FALSE	2-NTC-2.B1	Total16S	5.503557681	2	No	0	UTC	UTC_Total16S	2	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	27.55548668	27.77340698	0.308185846	3.406647668	3.406647668	400	100	4	2550.631202	1275.315601	318828.9002	5.503557681
Total16Sfull	16	B4	FALSE	2-NTC-2.B1	Total16S	5.400695996	2	No	0	UTC	UTC_Total16S	2	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	27.99132729	27.77340698	0.308185846	3.303785983	3.303785983	400	100	4	2012.732145	1006.366072	251591.5181	5.400695996
BovineFull	27	C3	FALSE	3-NTC-3.B1	BovineUXT	5.147639339	3	No	0	UTC	UTC_Bovine	3	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	29.84446144	29.82553482	0.026766283	3.050729326	3.050729326	400	100	4	1123.904281	561.9521407	140488.0352	5.147639339
BovineFull	28	C4	FALSE	3-NTC-3.B1	BovineUXT	5.158566192	3	No	0	UTC	UTC_Bovine	3	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	29.8066082	29.82553482	0.026766283	3.061656179	3.061656179	400	100	4	1152.540455	576.2702277	144067.5569	5.158566192
Total16Sfull	27	C3	FALSE	3-NTC-3.B1	Total16S	5.38503082	3	No	0	UTC	UTC_Total16S	3	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	28.05770302	28.15959358	0.144095019	3.288120807	3.288120807	400	100	4	1941.425845	970.7129226	242678.2306	5.38503082
Total16Sfull	28	C4	FALSE	3-NTC-3.B1	Total16S	5.33693693	3	No	0	UTC	UTC_Total16S	3	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	28.26148415	28.15959358	0.144095019	3.240026917	3.240026917	400	100	4	1737.908537	868.9542686	217238.5672	5.33693693
BovineFull	59	E11	FALSE	43-NTC-1.B3	BovineUXT	5.178694373	43	No	0	UTC	UTC_Bovine	1	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	29.73687935	29.82883072	0.130040228	3.08178436	3.08178436	400	100	4	1207.214269	603.6071344	150901.7836	5.178694373
BovineFull	60	E12	FALSE	43-NTC-1.B3	BovineUXT	5.125607795	43	No	0	UTC	UTC_Bovine	1	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	29.920784	29.82883072	0.130040228	3.028697782	3.028697782	400	100	4	1068.311201	534.1556003	133538.9001	5.125607795
Total16Sfull	59	E11	FALSE	43-NTC-1.B3	Total16S	4.925504592	43	No	0	UTC	UTC_Total16S	1	B3	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	30.00478554	30.14731216	0.201561734	2.828594579	2.828594579	400	100	4	673.8986392	336.9493196	84237.32991	4.925504592
Total16Sfull	60	E12	FALSE	43-NTC-1.B3	Total16S	4.858230315	43	No	0	UTC	UTC_Total16S	1	B3	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	30.28983688	30.14731216	0.201561734	2.761320302	2.761320302	400	100	4	577.1919986	288.5959993	72148.99983	4.858230315
BovineFull	71	F11	FALSE	44-NTC-2.B3	BovineUXT	5.144198751	44	No	0	UTC	UTC_Bovine	2	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	29.85638046	29.92318535	0.094476372	3.047288738	3.047288738	400	100	4	1115.035611	557.5178057	139379.4514	5.144198751
BovineFull	72	F12	FALSE	44-NTC-2.B3	BovineUXT	5.105630473	44	No	0	UTC	UTC_Bovine	2	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	29.98999023	29.92318535	0.094476372	3.00872046	3.00872046	400	100	4	1020.282552	510.141276	127535.319	5.105630473
Total16Sfull	71	F11	FALSE	44-NTC-2.B3	Total16S	4.810114818	44	No	0	UTC	UTC_Total16S	2	B3	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	30.49370956	30.56792831	0.104961164	2.713204805	2.713204805	400	100	4	516.6599584	258.3299792	64582.4948	4.810114818
Total16Sfull	72	F12	FALSE	44-NTC-2.B3	Total16S	4.775082443	44	No	0	UTC	UTC_Total16S	2	B3	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	30.64214706	30.56792831	0.104961164	2.67817243	2.67817243	400	100	4	476.620184	238.310092	59577.523	4.775082443
BovineFull	83	G11	FALSE	45-NTC-3.B3	BovineUXT	5.170460968	45	No	0	UTC	UTC_Bovine	3	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	29.76540184	29.78991699	0.034671009	3.073550955	3.073550955	400	100	4	1184.543339	592.2716694	148067.9173	5.170460968
BovineFull	84	G12	FALSE	45-NTC-3.B3	BovineUXT	5.156307153	45	No	0	UTC	UTC_Bovine	3	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	29.81443405	29.78991699	0.034671009	3.05939714	3.05939714	400	100	4	1146.560933	573.2804667	143320.1167	5.156307153
Total16Sfull	83	G11	FALSE	45-NTC-3.B3	Total16S	4.635923915	45	No	0	UTC	UTC_Total16S	3	B3	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	31.23178291	31.29473877	0.089034371	2.539013902	2.539013902	400	100	4	345.9504517	172.9752259	43243.80646	4.635923915
Total16Sfull	84	G12	FALSE	45-NTC-3.B3	Total16S	4.606207347	45	No	0	UTC	UTC_Total16S	3	B3	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	31.35769653	31.29473877	0.089034371	2.509297334	2.509297334	400	100	4	323.0705222	161.5352611	40383.81527	4.606207347
